id	Concepticon id	Definition
Society:clan.N	302	Extended family.
Society:command.V	1998	To order someone or several persons by a superior authority to do something.
Society:companion.N	3978	One who accompanies or associates with another, either habitually or casually.
Society:compound.N	483	An enclosure of residences and other buildings.
Society:correct (something or somebody).V	2231	To right the errors of a person or a thing.
Society:country.N	1300	A political entity asserting authority over a geographical area, or the area itself. Can be same as or part of a state.
Society:criminal.N	3875	A person who committed a crime.
Society:crowded.A	2517	Full of people.
Society:custom.N	1747	A pattern of behavior inherited or acquired through frequent repetition.
Society:depend.V	756	To be connected with something as a cause of existence or as a necessary condition.
Society:different.A	2504	To be not the same as something else.
Society:disgrace.V	75	To make a person morally inferior.
Society:dispute.N	3956	A disagreement or contentious argument between parties, typically in a political or ideological sense.
Society:donate.V	196	To give [a gift or award] in a formal manner.
Society:dowry.N	3168	Property, gifts or money transfered from the parents of a daughter to her new family at marriage.
Society:dragon boat festival.N	2186	A traditional and statutory holiday originating in China.
Society:emperor.N	3377	A male monarch, supreme leader of an empire.
Society:encounter (meet).V	3904	To meet someone or discover something, usually unexpectedly.
Society:enemy.N	1358	Someone who is hostile to, feels hatred towards, opposes the interests of, or intends injury to someone else.
Society:fame.N	865	The state or quality of having a positive reputation.
Society:festival.N	131	Manifestation of collective joy, lasting longer than a few minutes.
Society:fool.N	1438	A person with poor judgment or little intelligence.
Society:freeman.N	384	A free man, one who is not a serf or slave.
Society:friend.N	1325	A person other than a family member, spouse or lover whose company one enjoys and towards whom one feels affection.
Society:friendship.N	3954	A feeling of affection, good disposition, and sympathy experienced towards someone.
Society:game.N	2467	A game is structured form of play, usually undertaken for enjoyment and sometimes used as an educational tool.
Society:gift.N	2982	A gift or a present is an item given to someone without the expectation of payment or return.
Society:gipsy.N	532	Gipsy is a common word used to indicate Romani people, Tinkers and Travellers.
Society:gossip.V	3640	To talk about other people's private lives.
Society:govern.V	382	To make and administer the public policy and affairs of; to exercise sovereign authority in.
Society:guest.N	1782	A person that visits and stays at a house, usually for one or more nights.
Society:han chinese.N	3373	Referring to the Han Chinese people, their cultural practices or heritage.
Society:help (assistance).N	3467	The act of helping someone.
Society:help.V	1897	To give assistance or aid to.
Society:high-ranking.A	2202	Being at an elevated level in rank or importance.
Society:hinder or prevent.V	3201	To make it difficult for something to occur or to fully stop it from occurring.
Society:hire or rent.V	3213	To employ a person or people in exchange of some kind of remuneration, usually a payment, or to pay for using an object.
Society:hold a meeting.V	3070	To assemble and conduct a gathering of people; to convene.
Society:honor (somebody).V	3628	To treat someone with the utmost respect and admiration.
Society:host.N	1545	Person at whose place guests stay.
Society:indigenous peoples of the americas.N	3612	Referring to the native inhabitants of North and South America.
Society:insult.V	3204	To use swear-words towards someone.
Society:interpreter.N	3744	A person who translates someone's speech orally from one language into another.
Society:invite.V	1611	To request or ask for the presence or participation of someone.
Society:king.N	1508	A male member of a Royal Family and supreme ruler of his nation.
Society:lady.N	2471	A woman of higher social status.
Society:liar.N	3470	A person who tells lies.
Society:liberate.V	37	To set free from the power of another.
Society:lord.N	3153	A man of noble rank or high office; a nobleman.
Society:master.N	383	Someone who has control over something or someone; the owner of an animal or slave or someone who employs others.
Society:meet.V	1831	To encounter a person, either intentionally or by chance.
Society:mid-autumn festival.N	2187	A harvest festival celebrated by ethnic Chinese and Vietnamese peoples.
Society:midwife.N	3859	A person, usually a woman, who helps women in childbirth and provides ante- and postnatal care.
Society:murderer.N	3871	A person who commits murder.
Society:native country.N	89	One’s country of birth.
Society:neighbour.N	1332	A person living in a house that is adjacent or nearby another person's house.
Society:new year's eve.N	2188	The last day of the year.
Society:noble.N	482	Someone of aristocratic blood.
Society:nomadize.V	2221	To lead a nomadic lifestyle.
Society:obey.V	1635	To do as you are told.
Society:offend.V	557	To hurt the feelings of; to displease; to make angry; to insult.
Society:official.N	3361	A person who acts on behalf of a governmental or non-governmental organization within the scope of their prescribed authority.
Society:oppress.V	401	To cause, inflict or threaten with suffering, need, distress, or pain.
Society:order.V	1128	To order someone or several persons by a superior authority to do something, or to arrange something in a tidy manner.
Society:people.N	789	A group of persons forming or belonging to a particular nation, class, ethnic group, country, family, etc.
Society:permit.V	1003	To give permission to an action.
Society:play (game).V	3125	Act within the frame and rules of a game.
Society:plot.N	2024	Agreement on a secret plot.
Society:power.N	2526	The ability to act or force others to act.
Society:prevent.V	1550	To inhibit the occurrence of an event; to stop from doing something or being in a certain state.
Society:prince (ruler).N	2554	A ruler whose status is below that of a king.
Society:prostitute.N	1610	A woman who sells sexual services for money.
Society:quarrel (verb).V	3302	To have a loud or noisy verbal confrontation between two or more people.
Society:quarrel.N	1848	A loud or noisy verbal confrontation between two or more people.
Society:queen.N	1306	A female monarch.
Society:raise (bring up).V	2134	To take care of an infant or some other living creature, usually until it can live independently.
Society:rebel.V	567	To resist or become defiant toward an authority.
Society:receive visitors.V	2225	To receive visitors.
Society:rely on.V	3370	To trust someone's ability to help or expect something to happen in a particular way.
Society:rule.V	1846	To exercise power or authority over a person, a group of persons, animals, territories or an organization.
Society:servant.N	255	A person performing duties for others. For example a person employed in a household which cares about the domestic duties.
Society:serve (someone).V	3648	To perform the duties of a servant.
Society:sex (gender).N	2562	The gender of a person, like female, or male.
Society:slander.V	3641	To make a false statement about someone with the intention to defame them or damage their reputation.
Society:slave.N	812	A person who is owned and forced to work, usually without pay, by another.
Society:society.N	3958	A large social body brought together and organized under a common set of rules or principles.
Society:spoil (somebody or something).V	92	To hinder or prevent (the efforts, plans, or desires) of.
Society:stranger.N	791	Someone who is not known.
Society:subjugate.V	1516	To put somebody under one's authority.
Society:sympathize.V	3903	To show understanding for somebody's problems or hurt feelings.
Society:team.N	3961	A cooperative group of individuals working together for a common purpose.
Society:thank (somebody).V	2412	To express one's gratitude.
Society:tibetan.N	3374	Referring to the Tibetan people, their cultural practices or heritage.
Society:town or village.N	3609	Referring to either smaller (village) or larger (town) settlements.
Society:town.N	1391	An area with residential districts, shops and amenities, and its own local government.
Society:treaty.N	3169	Formal agreement between nations, states or other international bodies.
Society:tribe.N	1549	Group of people linked by the same linguistic and cultural traditions that usually live far from urban areas and practice their own legal rules and have their own political system.
Society:trust (somebody).V	3902	To have great confidence in someone that he or she is sincere, honest, and will not deliberately inflict any harm.
Society:village.N	930	A group of houses and other buildings, such as a church, a school and some shops, which is smaller than a town, usually in the countryside.
Society:visit.V	1377	To go and see a person or place.
Society:win.V	866	To achieve a victory.
Sound:drum.N	908	A percussion instrument consisting of at least one membrane that is stretched over a shell and struck directly with the player's hands or with a drumstick.
Sound:echo.N	2816	Reflection of sound.
Sound:flute.N	777	A musical instrument of the woodwind family.
Sound:folk song.N	2059	A traditional piece of music with words to sing.
Sound:gong.N	2502	An African, East and South East Asian musical percussion instrument that takes the form of a flat, circular metal disc which is hit with a mallet.
Sound:guitar.N	3090	Musical instrument with usually six strings.
Sound:harmonica.N	2590	A mouth organ (musical instrument).
Sound:harp.N	2597	A string musical instrument.
Sound:hear or listen.V	3862	To perceive sound with the ear, with or without paying attention to it.
Sound:hear.V	1408	To perceive sound with the ear, without necessarily paying attention to it.
Sound:hearing sense.N	2518	The sense that enables to perceive sounds.
Sound:hoarse.A	3987	(Of a voice or a person) Having a rough voice, often because of a sore throat or a cold.
Sound:horn.N	939	A wind instrument made of a wound copper tube with a wide sound bucket and valves.
Sound:jew’s harp.N	3319	A small musical instruments put between the teeth and played with a finger.
